threshold,cost,tn,fp,fn,tp,precision,recall,model
0.7578877551020408,17150,84630,665,21,127,0.16035353535353536,0.8581081081081081,Logistic
0.7780714285714285,17220,84673,622,22,126,0.16844919786096257,0.8513513513513513,Logistic
0.7477959183673469,17420,84603,692,21,127,0.15506715506715507,0.8581081081081081,Logistic
0.737704081632653,17720,84573,722,21,127,0.14958775029446408,0.8581081081081081,Logistic
0.7276122448979592,18040,84541,754,21,127,0.1441543700340522,0.8581081081081081,Logistic
0.7175204081632652,18300,84515,780,21,127,0.14002205071664828,0.8581081081081081,Logistic
0.6973367346938775,18370,84458,837,20,128,0.13264248704663212,0.8648648648648649,Logistic
0.7074285714285714,18550,84490,805,21,127,0.13626609442060086,0.8581081081081081,Logistic
0.6872448979591836,18750,84420,875,20,128,0.12761714855433698,0.8648648648648649,Logistic
0.6771530612244897,19150,84380,915,20,128,0.12272291466922339,0.8648648648648649,Logistic
0.6670612244897959,19440,84351,944,20,128,0.11940298507462686,0.8648648648648649,Logistic
0.6569693877551019,19830,84312,983,20,128,0.1152115211521152,0.8648648648648649,Logistic
0.6468775510204081,20260,84269,1026,20,128,0.11091854419410745,0.8648648648648649,Logistic
0.6367857142857143,20580,84237,1058,20,128,0.10792580101180438,0.8648648648648649,Logistic
0.6266938775510204,21040,84191,1104,20,128,0.1038961038961039,0.8648648648648649,Logistic
0.6166020408163265,21490,84146,1149,20,128,0.10023492560689115,0.8648648648648649,Logistic
0.6065102040816326,21980,84097,1198,20,128,0.09653092006033183,0.8648648648648649,Logistic
0.5964183673469388,22450,84050,1245,20,128,0.09322651128914786,0.8648648648648649,Logistic
0.5863265306122448,23010,83994,1301,20,128,0.08957312806158152,0.8648648648648649,Logistic
0.576234693877551,23510,83944,1351,20,128,0.08654496281271129,0.8648648648648649,Logistic
0.5661428571428571,24200,83875,1420,20,128,0.082687338501292,0.8648648648648649,Logistic
0.5560510204081632,24290,83816,1479,19,129,0.08022388059701492,0.8716216216216216,Logistic
0.5459591836734693,24340,83761,1534,18,130,0.078125,0.8783783783783784,Logistic
0.5358673469387755,24910,83704,1591,18,130,0.07553747821034282,0.8783783783783784,Logistic
0.5257755102040816,25430,83652,1643,18,130,0.07332205301748448,0.8783783783783784,Logistic
0.5156836734693877,26160,83579,1716,18,130,0.07042253521126761,0.8783783783783784,Logistic
0.5055918367346939,26810,83514,1781,18,130,0.06802721088435375,0.8783783783783784,Logistic
0.49549999999999994,27290,83466,1829,18,130,0.06636038795303727,0.8783783783783784,Logistic
0.4854081632653061,27960,83399,1896,18,130,0.06416584402764067,0.8783783783783784,Logistic
0.47531632653061223,28750,83320,1975,18,130,0.06175771971496437,0.8783783783783784,Logistic
0.46522448979591835,29470,83248,2047,18,130,0.059715204409738175,0.8783783783783784,Logistic
0.45513265306122447,30490,83146,2149,18,130,0.05704256252742431,0.8783783783783784,Logistic
0.4450408163265306,31340,83061,2234,18,130,0.05499153976311337,0.8783783783783784,Logistic
0.4349489795918367,32160,82979,2316,18,130,0.053147996729354045,0.8783783783783784,Logistic
0.4248571428571428,33120,82883,2412,18,130,0.05114083398898505,0.8783783783783784,Logistic
0.41476530612244894,34100,82785,2510,18,130,0.04924242424242424,0.8783783783783784,Logistic
0.40467346938775506,35060,82689,2606,18,130,0.04751461988304093,0.8783783783783784,Logistic
0.3945816326530612,36270,82568,2727,18,130,0.04550227511375569,0.8783783783783784,Logistic
0.3844897959183673,37320,82463,2832,18,130,0.04388926401080351,0.8783783783783784,Logistic
0.37439795918367347,38450,82350,2945,18,130,0.04227642276422764,0.8783783783783784,Logistic
0.3643061224489796,39420,82203,3092,17,131,0.04064536146447409,0.8851351351351351,Logistic
0.3542142857142857,40740,82071,3224,17,131,0.03904619970193741,0.8851351351351351,Logistic
0.3441224489795918,42020,81943,3352,17,131,0.037611254665518234,0.8851351351351351,Logistic
0.33403061224489794,43850,81760,3535,17,131,0.03573376977632297,0.8851351351351351,Logistic
0.32393877551020406,44880,81607,3688,16,132,0.03455497382198953,0.8918918918918919,Logistic
0.3138469387755102,45980,81447,3848,15,133,0.03340869128359709,0.8986486486486487,Logistic
0.3037551020408163,47790,81266,4029,15,133,0.03195579048534358,0.8986486486486487,Logistic
0.2936632653061224,49830,81062,4233,15,133,0.030462666055886396,0.8986486486486487,Logistic
0.28357142857142853,52000,80845,4450,15,133,0.02902029238490072,0.8986486486486487,Logistic
0.27347959183673465,54080,80637,4658,15,133,0.02776038405343352,0.8986486486486487,Logistic
0.2633877551020408,56250,80420,4875,15,133,0.02655750798722045,0.8986486486486487,Logistic
0.25329591836734694,58180,80177,5118,14,134,0.025514089870525513,0.9054054054054054,Logistic
0.24320408163265306,60850,79910,5385,14,134,0.024279760826236636,0.9054054054054054,Logistic
0.23311224489795918,63850,79610,5685,14,134,0.023028011685856678,0.9054054054054054,Logistic
0.2230204081632653,66950,79300,5995,14,134,0.02186327296459455,0.9054054054054054,Logistic
0.2129285714285714,70190,78976,6319,14,134,0.020765535409886873,0.9054054054054054,Logistic
0.20283673469387753,73470,78598,6697,13,135,0.019759953161592507,0.9121621621621622,Logistic
0.19274489795918365,77670,78178,7117,13,135,0.018615554329840044,0.9121621621621622,Logistic
0.1826530612244898,82280,77717,7578,13,135,0.01750291715285881,0.9121621621621622,Logistic
0.1725612244897959,86880,77207,8088,12,136,0.016536964980544747,0.918918918918919,Logistic
0.16246938775510203,91950,76650,8645,11,137,0.015600091095422455,0.9256756756756757,Logistic
0.15237755102040815,97370,76058,9237,10,138,0.01472,0.9324324324324325,Logistic
0.14228571428571427,104090,75386,9909,10,138,0.013735443415945058,0.9324324324324325,Logistic
0.1321938775510204,111530,74642,10653,10,138,0.012788434806783431,0.9324324324324325,Logistic
0.12210204081632653,119730,73772,11523,9,139,0.011919053335619963,0.9391891891891891,Logistic
0.11201020408163265,129720,72773,12522,9,139,0.010978595687544428,0.9391891891891891,Logistic
0.10191836734693877,141150,71630,13665,9,139,0.010069545059403072,0.9391891891891891,Logistic
0.0918265306122449,154860,70259,15036,9,139,0.009159802306425041,0.9391891891891891,Logistic
0.08173469387755102,170750,68670,16625,9,139,0.008291577189214985,0.9391891891891891,Logistic
0.07164285714285713,190030,66742,18553,9,139,0.007436336400599187,0.9391891891891891,Logistic
0.061551020408163265,213700,64375,20920,9,139,0.006600503347737309,0.9391891891891891,Logistic
